id,name,host_id,neighbourhood_cleansed,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
1091884435587099503,URBAN FLATS Berlin | Flat No. 201 | City Center,546288100,Alexanderplatz,52.52439,13.39851,Entire home/apt,199.0,2,40,2024-12-06,3.97,67
810670224553529712,"Blueground | Prenzlauer Berg, nr Mauerpark Volksp.",434485440,Prenzlauer Berg Süd,52.5350755,13.4267712,Entire home/apt,112.0,90,0,,0.0,0
45802199,Amazing apartment by P&M in Prenzlauer Berg,163315280,Prenzlauer Berg Südwest,52.53673,13.41635,Entire home/apt,80.0,1,214,2024-11-26,4.37,355
633358953046617200,100qm Arty Loft in Prenzlauer Berg (S-Ringbahn),2573238,Prenzlauer Berg Nord,52.553017,13.414815,Entire home/apt,65.0,93,0,,0.0,151
42671758,Super clean Room in Steglitz . Very central,198864678,Albrechtstr.,52.44769,13.34544,Private room,30.0,1,0,,0.0,362
1246168783031621220,Unique Penthouse in center,27816679,Prenzlauer Berg Nordwest,52.54978969970367,13.40305939464763,Entire home/apt,278.0,3,2,2024-10-14,0.68,365
30059792,Ruhe Oase in Berlin Mitte - Luxus Apartment,22257295,Regierungsviertel,52.51977,13.38594,Shared room,680.0,1,7,2019-04-07,0.1,365
1068808508269736172,Vorheriges Elternschlafzimmer D,4475104,Oberschöneweide,52.46516481960754,13.512912778650977,Private room,30.0,30,1,2024-08-22,0.25,90
693908961072120349,Berlin Prenzlauer Allee | Queen Room,418270816,Prenzlauer Berg Südwest,52.53031,13.418211,Entire home/apt,88.0,1,28,2024-05-18,1.11,357
53139932,Comfort Double Room | Hotel Spree-idyll Berlin,430024205,Friedrichshagen,52.4485,13.60912,Private room,110.0,1,7,2024-11-03,0.34,365
11429575,2-room apartment with terrace,1275576,Otto-Suhr-Allee,52.51289,13.30239,Entire home/apt,75.0,2,245,2024-12-15,2.28,219
4679825,Flat 3,16079116,Buckow,52.42018,13.42365,Entire home/apt,77.0,1,46,2022-12-17,0.38,364
1285344109833476395,Stylish Studio in Berlin Mitte,5901886,Alexanderplatz,52.52909952054217,13.407022850214108,Entire home/apt,89.0,80,0,,0.0,316
31500359,"Appartement ""Hibiskus""",1496069,Mariendorf,52.44817,13.38651,Entire home/apt,190.0,1,31,2024-12-08,0.44,357
12334987,Modern Apartment in best location,66576238,Kurfürstendamm,52.50161,13.30992,Private room,70.0,2,224,2024-12-11,2.14,250
1193121266084445405,Familienfreundliche Unterkunft,36029055,Mierendorffplatz,52.5238325250992,13.312072628955086,Entire home/apt,91.0,1,3,2024-10-06,0.76,2
1101465952016111173,3 Rooms Apt. City Center Fischerinsel Mitte 6 Pers,563418004,Regierungsviertel,52.51246,13.40172,Entire home/apt,245.0,3,23,2024-10-28,2.46,153
23623112,Zentrale Ferienwohnung am See,176750828,Wilhelmstadt,52.51365,13.20029,Entire home/apt,81.0,2,52,2024-11-25,0.63,158
535415314007589795,Great Apartment close to Kudamm,186634753,Halensee,52.49531,13.29629,Entire home/apt,73.0,1,92,2024-11-27,2.6,331
777241634873454671,Penthouse Apartment in Berlin,25181498,Prenzlauer Berg Südwest,52.5296122,13.4062557,Entire home/apt,130.0,96,0,,0.0,365
756352772362461087,Süße Yoga /Sauna Whg.  in ruh. Bauhaus Denkm.,408160754,Adlershof,52.43646769999999,13.5592809,Entire home/apt,60.0,28,26,2024-11-03,1.38,52
975500812751010040,#N25 - Nice Apartment Rummelsburg,2293972,Neu Lichtenberg,52.50160883066239,13.482405820287706,Entire home/apt,119.0,1,27,2024-11-03,1.76,66
27869754,Bright Loft apartment city center Berlin Ku'damm,210291317,Schöneberg-Nord,52.50252,13.34275,Entire home/apt,68.0,1,145,2024-12-11,1.9,92
38766599,Studio Apartment nahe Tempelhofer Hafen,8912086,Tempelhof,52.45886,13.37759,Entire home/apt,99.0,30,7,2024-07-15,0.12,76
686895881559760850,Schöne möblierte Zweizimmerwohnung,452544785,Tempelhof,52.47343,13.38171,Entire home/apt,75.0,92,0,,0.0,173
22694360,"House with garden, pool and sauna for families",167319423,Drakestr.,52.44554,13.32002,Entire home/apt,299.0,4,3,2019-08-03,0.04,111
47791220,10 Minuten von Hauptbahnhof zu Fuß+Berlin Zentral,385197336,Moabit Ost,52.52241,13.35536,Private room,70.0,1,50,2024-10-16,1.29,79
40610629,"Stylish City Loft, 3 rooms, 2 bath, 1 mezzanine",312525221,Frankfurter Allee Süd FK,52.50855,13.47021,Entire home/apt,118.0,2,109,2024-12-07,1.78,304
1090023481575463540,Wunderschöne Berliner 3-Raum Designer-Wohnung,43938328,Albrechtstr.,52.45199,13.34587,Entire home/apt,87.0,92,1,2024-06-07,0.15,351
13717143,central-4 bedrooms-sunny terrace-for families,46755090,Neu Lichtenberg,52.50227,13.48134,Entire home/apt,180.0,92,31,2024-11-02,0.3,26
48154397,Lovely Apartment Kompakt,16079116,Buckow,52.41991,13.42335,Entire home/apt,55.0,2,34,2024-01-28,0.74,365
1050596513338100729,Ruhiges Schlafzimmer in Mitte,194730533,Alexanderplatz,52.51556972641772,13.422388127607883,Private room,55.0,3,28,2024-12-16,2.36,157
51687795,"Modern, cozy room in an 60m^2 apartment with TV",106568150,Oberschöneweide,52.461651,13.518462,Private room,59.0,92,3,2021-12-17,0.07,365
627993614199123614,"GreatStay-Koburger Str.14 VH,cosy nest for up to 4",369958333,Schöneberg-Süd,52.48149871826172,13.3460693359375,Entire home/apt,133.0,3,35,2024-10-06,1.13,323
1031289309407368307,Cosy flat in Tempelhof,7019419,Tempelhof,52.46413,13.37707,Entire home/apt,80.0,2,22,2024-10-02,1.78,252
579662998059272323,Berlin City Apartment,437628,Schmargendorf,52.48104,13.29124,Entire home/apt,103.0,2,9,2024-12-01,0.32,100
16237757,Interior Design 3 - Bedroom Apartment with Balcony,3003519,Moabit West,52.533,13.32688,Entire home/apt,293.0,2,268,2024-12-19,2.74,289
920373263492137237,Vermietung 1 Zimmer mit Balkon,179695372,Falkenhagener Feld,52.5429813,13.1646175,Private room,49.0,92,0,,0.0,180
40414534,"*NEW* Daylight-flooded design loft, city center",312525221,Frankfurter Allee Süd FK,52.50889,13.47056,Entire home/apt,138.0,2,87,2024-10-31,1.43,309
42420636,Komfort Zimmer im Hotel Brandies Berlin nahe Messe,337659501,Westend,52.51036,13.2807,Private room,113.0,1,4,2024-08-05,0.11,263
979329701767681454,"14qm, in einer Wohnung mit exotischen Flair.",180368915,Drakestr.,52.44902219999999,13.3150047,Private room,58.0,2,17,2024-11-10,1.13,265
11922402,Gemütliches gr. Dachgeschossappartment,57781837,Brunsbütteler Damm,52.52915,13.16387,Private room,49.0,3,34,2024-10-15,0.33,77
27164026,Ladenwohnung in Kreuzberg mit Parkplatz in Garage,183372921,südliche Luisenstadt,52.49402,13.42914,Entire home/apt,151.0,1,455,2024-11-29,6.04,221
53139887,Comfort Single Room | Hotel Spree-idyll Berlin,430024205,Friedrichshagen,52.4488,13.60931,Private room,99.0,1,0,,0.0,338
722215535729534502,Spacious 1-bedroom Loft in former Warehouse,7349296,Schönholz/Wilhelmsruh/Rosenthal,52.58616,13.36332,Entire home/apt,80.0,30,0,,0.0,326
952308022621257166,Quite and comfortable room,83676294,Ost 2,52.56515642418714,13.362391115880923,Private room,51.0,3,6,2023-11-04,0.38,169
33389721,Großes Zimmer in ruhiger Familienwohnung,99824320,Karl-Marx-Allee-Süd,52.51322,13.44234,Private room,85.0,3,33,2024-07-14,0.48,7
4642736,Living@Solarhaus- Solarenergy  4U CO2 Footstep,24037323,Britz,52.44291,13.41464,Private room,30.0,190,5,2022-05-13,0.05,358
14692920,MC503 - rooftop apartment - best public transport,2293972,Neu Lichtenberg,52.50859,13.50501,Entire home/apt,94.0,1,91,2024-07-08,0.9,70
28218006,Rooms in nice house-Excellent connection to centre,49840372,Heerstrasse,52.51082,13.22754,Private room,170.0,4,14,2024-07-04,0.2,15
838177064849804054,Sauber und gemütlich - Zentrale Lage am U-Bahnhof,106694332,Barstraße,52.48676529999999,13.3183193,Private room,81.0,5,3,2024-10-20,0.15,340
7545423,Ferienwohnung an der Spree,39537907,Moabit Ost,52.52212905883789,13.345120429992676,Entire home/apt,137.0,1,45,2024-09-12,0.41,290
1232407670519280496,Sunny apartment with a balcony,32508277,Frankfurter Allee Süd FK,52.50446,13.4679,Private room,69.0,28,0,,0.0,208
1082444838100102050,Vibrant apartment,265415759,Friedenau,52.46928,13.33387,Entire home/apt,186.0,1,0,,0.0,331
672183105867055977,Zimmer #3 - Family Zimmer Hotel Bregenz,468179275,Düsseldorfer Straße,52.49848,13.31433,Private room,149.0,3,14,2024-11-10,0.47,315
